event_id,user_id,event_name,event_time
1,1,visit,"2024-02-18 00:00:00"
2,1,visit,"2024-02-23 00:00:00"
3,1,visit,"2024-02-18 00:00:00"
4,2,visit,"2023-05-23 00:00:00"
5,2,visit,"2023-05-23 00:00:00"
6,2,visit,"2023-05-25 00:00:00"
7,3,visit,"2024-05-09 00:00:00"
8,3,visit,"2024-05-10 00:00:00"
9,3,visit,"2024-05-09 00:00:00"
10,4,visit,"2023-09-18 00:00:00"
11,4,visit,"2023-09-19 00:00:00"
12,4,visit,"2023-09-19 00:00:00"
13,5,visit,"2024-06-15 00:00:00"
14,5,visit,"2024-06-08 00:00:00"
15,5,visit,"2024-06-11 00:00:00"
16,6,visit,"2023-06-11 00:00:00"
17,6,visit,"2023-06-17 00:00:00"
18,6,visit,"2023-06-11 00:00:00"
19,7,visit,"2024-01-04 00:00:00"
20,7,visit,"2024-01-08 00:00:00"
21,7,visit,"2023-12-31 00:00:00"
22,8,visit,"2024-03-17 00:00:00"
23,8,visit,"2024-03-16 00:00:00"
24,8,visit,"2024-03-10 00:00:00"
25,9,visit,"2024-03-20 00:00:00"
26,9,visit,"2024-03-26 00:00:00"
27,9,visit,"2024-03-23 00:00:00"
28,10,visit,"2023-01-13 00:00:00"
29,10,visit,"2023-01-11 00:00:00"
30,10,visit,"2023-01-10 00:00:00"
31,11,visit,"2023-09-03 00:00:00"
32,11,visit,"2023-09-07 00:00:00"
33,11,visit,"2023-09-06 00:00:00"
34,12,visit,"2023-11-28 00:00:00"
35,12,visit,"2023-11-21 00:00:00"
36,12,visit,"2023-11-28 00:00:00"
37,13,visit,"2024-03-27 00:00:00"
38,13,visit,"2024-03-28 00:00:00"
39,13,visit,"2024-03-19 00:00:00"
40,14,visit,"2024-01-14 00:00:00"
41,14,visit,"2024-01-10 00:00:00"
42,14,visit,"2024-01-19 00:00:00"
43,15,visit,"2023-12-29 00:00:00"
44,15,visit,"2023-12-29 00:00:00"
45,15,visit,"2023-12-26 00:00:00"
46,16,visit,"2023-05-28 00:00:00"
47,16,visit,"2023-05-23 00:00:00"
48,16,visit,"2023-05-24 00:00:00"
49,17,visit,"2024-03-28 00:00:00"
50,17,visit,"2024-03-28 00:00:00"
51,17,visit,"2024-04-02 00:00:00"
52,18,visit,"2023-08-19 00:00:00"
53,18,visit,"2023-08-21 00:00:00"
54,18,visit,"2023-08-15 00:00:00"
55,19,visit,"2023-09-05 00:00:00"
56,19,visit,"2023-09-07 00:00:00"
57,19,visit,"2023-09-07 00:00:00"
58,20,visit,"2023-01-11 00:00:00"
59,20,visit,"2023-01-16 00:00:00"
60,20,visit,"2023-01-19 00:00:00"
61,21,visit,"2023-05-29 00:00:00"
62,21,visit,"2023-05-27 00:00:00"
63,21,visit,"2023-05-28 00:00:00"
64,22,visit,"2023-04-27 00:00:00"
65,22,visit,"2023-04-30 00:00:00"
66,22,visit,"2023-05-04 00:00:00"
67,23,visit,"2023-08-29 00:00:00"
68,23,visit,"2023-09-01 00:00:00"
69,23,visit,"2023-08-30 00:00:00"
70,24,visit,"2023-04-20 00:00:00"
71,24,visit,"2023-04-22 00:00:00"
72,24,visit,"2023-04-21 00:00:00"
73,25,visit,"2023-10-31 00:00:00"
74,25,visit,"2023-11-07 00:00:00"
75,25,visit,"2023-11-04 00:00:00"
76,26,visit,"2024-06-23 00:00:00"
77,26,visit,"2024-06-16 00:00:00"
78,26,visit,"2024-06-20 00:00:00"
79,27,visit,"2024-04-09 00:00:00"
80,27,visit,"2024-04-13 00:00:00"
81,27,visit,"2024-04-11 00:00:00"
82,28,visit,"2023-08-17 00:00:00"
83,28,visit,"2023-08-18 00:00:00"
84,28,visit,"2023-08-22 00:00:00"
85,29,visit,"2024-02-04 00:00:00"
86,29,visit,"2024-02-11 00:00:00"
87,29,visit,"2024-02-11 00:00:00"
88,30,visit,"2024-01-17 00:00:00"
